"","life_expectancy","equal_resources","corruption_avg"
"1",75.6,34.1,"under"
"2",72.3,69.8,"over"
"3",82.8,87,"over"
"4",84.3,96.9,"over"
"5",66.1,57,"under"
"6",66.9,33.1,"over"
"7",84.5,97.5,"over"
"8",69.1,31.4,"under"
"9",72.5,72.4,"under"
"10",78.5,73,"under"
"11",71,21.6,"under"
"12",68.1,3,"under"
"13",80.5,28.2,"under"
"14",78.4,87.5,"over"
"15",75.9,40.3,"under"
"16",78.6,63.6,"over"
"17",81.8,91.2,"over"
"18",74.5,27.8,"under"
"19",73.7,15.8,"under"
"20",73.3,30.9,"under"
"21",65.7,8.9,"under"
"22",74.3,21,"under"
"23",62.9,27.1,"under"
"24",67.2,10.3,"under"
"25",80.8,40,"under"
"26",68.6,56.3,"over"
"27",59.7,2.2,"under"
"28",70.8,19.5,"under"
"29",74.7,74.4,"under"
"30",64.1,24,"under"
"31",77,72.2,"over"
"32",69.1,51.9,"under"
"33",69.5,26.7,"under"
"34",66.7,51.4,"under"
"35",72.4,57.7,"under"
"36",83,95.2,"over"
"37",NA,76.6,"under"
"38",78.1,51.8,"under"
"39",65.2,26.6,"under"
"40",70,33.2,"under"
"41",67.7,66.9,"under"
"42",NA,96.2,"over"
"43",78.6,55.6,"under"
"44",66.6,28.2,"under"
"45",75.1,7.6,"under"
"46",65.3,71.6,"under"
"47",74.7,92,"over"
"48",62.5,34.5,"under"
"49",70.4,16.7,"under"
"50",71.9,59.5,"under"
"51",59.9,28.5,"under"
"52",71.5,32.4,"under"
"53",79.2,38.2,"under"
"54",63.2,27.8,"under"
"55",64,26.6,"under"
"56",62,29.5,"under"
"57",61.6,15.7,"under"
"58",63.3,39.5,"under"
"59",71,22.3,"under"
"60",82.2,92.4,"over"
"61",82.7,83.2,"over"
"62",69.8,71.5,"over"
"63",62.3,16.2,"under"
"64",76.2,76,"over"
"65",52.9,13.9,"under"
"66",80,55.5,"over"
"67",79.8,92.8,"over"
"68",71.3,38.3,"under"
"69",77.2,64.1,"under"
"70",83.1,90.9,"over"
"71",80.9,95.3,"over"
"72",73.1,22.4,"under"
"73",77.8,71.3,"under"
"74",77.1,35.1,"under"
"75",82.3,84.7,"over"
"76",83.5,94.3,"over"
"77",79.6,73.6,"over"
"78",75.4,86.5,"over"
"79",56.1,76.2,"under"
"80",65.2,29,"under"
"81",64.2,25.6,"under"
"82",82.1,49.3,"under"
"83",69.3,70.3,"under"
"84",74.4,38,"under"
"85",81.8,94.4,"over"
"86",79.7,69.3,"under"
"87",58.9,15.9,"under"
"88",80.5,94.5,"over"
"89",61.3,39,"under"
"90",83.3,90.6,"over"
"91",71.5,15.5,"under"
"92",78.7,62.9,"over"
"93",79.5,55.5,"under"
"94",70.8,69.6,"under"
"95",81.1,88.6,"over"
"96",77.3,91.1,"over"
"97",78.1,76.3,"under"
"98",65,19.7,"under"
"99",75.9,87.9,"under"
"100",71.1,23.4,"under"
"101",74.5,90.8,"over"
"102",63.8,54.8,"under"
"103",60.6,21.9,"under"
"104",77.5,44.4,"under"
"105",63,26.1,"under"
"106",63.3,33.1,"under"
"107",68.6,24.7,"under"
"108",73.5,23.1,"under"
"109",63.4,65.9,"under"
"110",69,59.8,"under"
"111",66.4,59.9,"under"
"112",73.2,84.9,"over"
"113",60.7,17.1,"under"
"114",74.9,77,"over"
"115",72.8,71.8,"under"
"116",73,64.9,"under"
"117",68.2,37.3,"under"
"118",73.3,41.5,"under"
"119",64.2,12.5,"under"
"120",73.1,66.2,"under"
"121",67.2,27.9,"over"
"122",77.2,80.3,NA
"123",69.1,77.3,"over"
"124",59.2,8.7,"under"
"125",77.8,78.2,"under"
"126",NA,40.8,"under"
"127",70.8,30.4,"under"
"128",65,65.9,"under"
"129",74.5,87.8,"under"
"130",70.3,47.8,"under"
"131",NA,73.2,NA
"132",NA,17.4,NA
"133",70.7,57.9,"under"
"134",82,95.3,"over"
"135",79.8,76.6,"under"
"136",77.3,94.8,"over"
"137",81.7,95.2,"over"
"138",77,69.3,"under"
"139",75.1,65.4,"over"
"140",69.1,52.2,"under"
"141",78.8,86.2,"over"
"142",78.5,90.2,"over"
"143",82,95.5,"over"
"144",79.5,95.7,"over"
"145",81,96.5,"over"
"146",66.3,33.8,"under"
"147",78.5,96,"over"
"148",68.3,70.5,NA
"149",81.8,82.2,"over"
"150",81.3,90.9,"over"
"151",69.5,66.9,"under"
"152",NA,89,"over"
"153",83,97,"over"
"154",83.3,79.4,"over"
"155",83.3,93.9,"under"
"156",75.4,90.8,"over"
"157",82,96.4,"over"
"158",76.8,75.1,"under"
"159",75,84,"over"
"160",81.3,95.7,"over"
"161",75,87.6,"over"
"162",76.7,82.1,"over"
"163",81.9,93.2,"over"
"164",82.6,98.6,"over"
"165",77.6,88.2,"over"
"166",76.4,14.8,"under"
"167",75.4,55.3,"over"
"168",67.3,55.7,"over"
"169",77.1,86.4,"over"
"170",76,78.7,"under"
"171",73.8,90,"over"
"172",85.1,92,"over"
"173",77.7,78.8,"over"
"174",81.4,91.7,"over"
"175",68.9,23.6,"under"
"176",65,75.1,"over"
"177",73.6,87.5,"over"
"178",77.2,65.5,"over"
"179",NA,66.7,NA
